workId,genreId
"heitor-villa-lobos-1887-historias-da-carochinha-a148-105","keyboard"
"heitor-villa-lobos-1887-carnaval-de-pierro-53","keyboard"
"heitor-villa-lobos-1887-marquesa-de-santos-a396-115","keyboard"
"heitor-villa-lobos-1887-valsa-da-dor--in-d-major-a316-189","keyboard"
"heitor-villa-lobos-1887-baliado-infantil-a35-37","keyboard"
"heitor-villa-lobos-1887-impressoes-seresteiras-108","keyboard"
"heitor-villa-lobos-1887-feijoada-sem-perigo-adeest-96","keyboard"
"heitor-villa-lobos-1887-choros-no-1-57","keyboard"
"heitor-villa-lobos-1887-new-york-skyline-melody-a407-122","keyboard"
"heitor-villa-lobos-1887-rudepoema-a184-140","keyboard"
"heitor-villa-lobos-1887-bachianas-brasileiras-no-4-a264-30","keyboard"
"heitor-villa-lobos-1887-album-4-a280-14","keyboard"
"heitor-villa-lobos-1887-ondulando-a82-undulating-127","keyboard"
"heitor-villa-lobos-1887-valsa-romantica-a16-191","keyboard"
"heitor-villa-lobos-1887-brinquedo-de-roda-a45-43","keyboard"
"heitor-villa-lobos-1887-guia-pratico-folkloric-melodies-in-2-volumes-a-276-100","keyboard"
"heitor-villa-lobos-1887-caixinha-de-musica-quebrada-a256-45","keyboard"
"heitor-villa-lobos-1887-as-tres-marias-a411-24","keyboard"
"antonio-vivaldi-1678-2-pieces-in-a-major-for-organ-rv746-0","keyboard"
"heitor-villa-lobos-1887-o-gato-e-o-rato-a76--126","keyboard"
"heitor-villa-lobos-1887-saudades-das-selvas-brasileiras-a226-143","keyboard"
"heitor-villa-lobos-1887-16-cirandinhas-a220-1","keyboard"
"heitor-villa-lobos-1887-album-11-a473-11","keyboard"
"heitor-villa-lobos-1887-album-2-a276-12","keyboard"
"heitor-villa-lobos-1887-5-cancoes-de-cordialidade-adeest-4","keyboard"
"heitor-villa-lobos-1887-album-1-a277-9","keyboard"
"heitor-villa-lobos-1887-a-fiandeira-a176-6","keyboard"
"heitor-villa-lobos-1887-a-prole-do-bebe-a140-a-familia-do-bebe-8","keyboard"
"heitor-villa-lobos-1887-album-10-a284-10","keyboard"
"heitor-villa-lobos-1887-album-3-a279-13","keyboard"
"ralph-vaughan-williams-1872-6-teaching-pieces-for-piano--19","keyboard"
"ralph-vaughan-williams-1872-preludes-on-3-welsh-hymn-tunes-for-organ-99","keyboard"
"ralph-vaughan-williams-1872-prelude-and-fugue-for-organ-in-c-minor-98","keyboard"
"ralph-vaughan-williams-1872-6-short-pieces-for-piano-17","keyboard"
"ralph-vaughan-williams-1872-hymn-tune-prelude-on-song-13-by-orlando-gibbons-66","keyboard"
"michael-tippett-1905-piano-sonata-no-4-21","keyboard"
"michael-tippett-1905-piano-sonata-no-2-19","keyboard"
"georg-philipp-telemann-1681-solo-suite-for-harpsichord-in-f-twv-324-430","keyboard"
"michael-tippett-1905-piano-sonata-no-3-20","keyboard"
"michael-tippett-1905-piano-sonata-no-1-18","keyboard"
"georg-philipp-telemann-1681-suite-for-harpsichord-in-a-twv-3214-490","keyboard"
"michael-tippett-1905-preludio-al-vespro-di-monteverdi-for-organ-24","keyboard"
"georg-philipp-telemann-1681-solo-suite-for-harpsichord-in-c-twv-323-429","keyboard"
"georg-philipp-telemann-1681-sonata-en-trio-for-2-manuals-in-pedal-for-organ-in-d-twv33a4-432","keyboard"
"georg-philipp-telemann-1681-overture-a-la-polonoise-suite-for-harpsichord-in-d-minor-twv-322-296","keyboard"
"georg-philipp-telemann-1681-chorale-prelude-for-organ-in-d-twv3150-befiehl-du-deine-wege-39","keyboard"
"pyotr-ilyich-tchaikovsky-1840-valse-scherzo-no-1-in-a-major-op-7-138","keyboard"
"pyotr-ilyich-tchaikovsky-1840-the-seasons-op-37b-123","keyboard"
"pyotr-ilyich-tchaikovsky-1840-piano-sonata-in-c-sharp-minor-op-80-87","keyboard"
"pyotr-ilyich-tchaikovsky-1840-2-morceaux-op-10-5","keyboard"
"pyotr-ilyich-tchaikovsky-1840-capriccio-in-g-flat-major-op-8-33","keyboard"
"pyotr-ilyich-tchaikovsky-1840-military-march-in-b-flat-major-68","keyboard"
"pyotr-ilyich-tchaikovsky-1840-grand-sonata-in-g-major-op-37-50","keyboard"
"georg-philipp-telemann-1681-36-fantaisies-for-harpsichord-twv33-8","keyboard"
"pyotr-ilyich-tchaikovsky-1840-romance-in-f-minor-op-5-93","keyboard"
"pyotr-ilyich-tchaikovsky-1840-dumka-in-c-minor-op-59-42","keyboard"
"georg-philipp-telemann-1681-20-kleine-fugen-collection-of-fugues-for-harpsichord-twv301-20-5","keyboard"
"pyotr-ilyich-tchaikovsky-1840-lullaby-61","keyboard"
"pyotr-ilyich-tchaikovsky-1840-6-morceaux-op-19-14","keyboard"
"pyotr-ilyich-tchaikovsky-1840-valse-caprice-in-d-major-op-4-136","keyboard"
"pyotr-ilyich-tchaikovsky-1840-potpourri-on-themes-from-the-opera-voyevoda-91","keyboard"
"georg-philipp-telemann-1681-2-chorale-preludes-for-organ-in-a-twv3145-46-wer-nur-den-lieben-gott-lasst-walten-4","keyboard"
"pyotr-ilyich-tchaikovsky-1840-3-morceaux-op-9-7","keyboard"
"pyotr-ilyich-tchaikovsky-1840-18-morceaux-op-72-3","keyboard"
"pyotr-ilyich-tchaikovsky-1840-6-morceaux-composes-sur-un-seul-theme-op-21-13","keyboard"
"pyotr-ilyich-tchaikovsky-1840-march-for-the-volunteer-fleet-in-c-64","keyboard"
"pyotr-ilyich-tchaikovsky-1840-impromptu-caprice-in-g-55","keyboard"
"pyotr-ilyich-tchaikovsky-1840-2-pieces-op-1-6","keyboard"
"pyotr-ilyich-tchaikovsky-1840-valse-scherzo-no-2-in-a-139","keyboard"
"pyotr-ilyich-tchaikovsky-1840-impromptu-in-a-flat-major-54","keyboard"
"pyotr-ilyich-tchaikovsky-1840-souvenir-de-hapsal-op-2-103","keyboard"
"pyotr-ilyich-tchaikovsky-1840-childrens-album-24-easy-pieces-op-39-36","keyboard"
"pyotr-ilyich-tchaikovsky-1840-6-morceaux-op-51-15","keyboard"
"pyotr-ilyich-tchaikovsky-1840-12-morceaux-difficulte-moyen-op-40-0","keyboard"
"pyotr-ilyich-tchaikovsky-1840-theme-and-variations-in-a-minor-134","keyboard"
"pyotr-ilyich-tchaikovsky-1840-50-russian-folk-songs-9","keyboard"
"pyotr-ilyich-tchaikovsky-1840-aveu-passionne-in-e-29","keyboard"
"thomas-tallis-1505-iste-confessor-31","keyboard"
"thomas-tallis-1505-gloria-tibi-trinitas-21","keyboard"
"thomas-tallis-1505-jam-lucis-orto-sidere-33","keyboard"
"thomas-tallis-1505-veni-redemptor-gentium--71","keyboard"
"thomas-tallis-1505-poyncte-for-the-virginals--55","keyboard"
"thomas-tallis-1505-natus-est-nobis-47","keyboard"
