id,name,title,description,popular,recommended,primarySource
"henry-purcell-1659-dido-and-aeneas-z626-43","Dido and Aeneas, Z.626","Dido and Aeneas, Z.626","Purcell - Dido and Aeneas, Z.626, Opera",false,true,openopus
"henry-purcell-1659-distressed-innocence-or-the-princess-of-persia-z577-44","Distressed Innocence, or, the Princess of Persia, Z.577","Distressed Innocence, or, the Princess of Persia, Z.577","Purcell - Distressed Innocence, or, the Princess of Persia, Z.577",false,false,openopus
"henry-purcell-1659-don-quixote-z578-45","Don Quixote, Z.578","Don Quixote, Z.578","Purcell - Don Quixote, Z.578",false,false,openopus
"henry-purcell-1659-down-down-with-bacchus-catch-for-3-voices-z247-46","Down, Down with Bacchus, catch for 3 voices, Z.247","Down, Down with Bacchus, catch for 3 voices, Z.247","Purcell - Down, Down with Bacchus, catch for 3 voices, Z.247",false,false,openopus
"henry-purcell-1659-epsom-wells-z579-47","Epsom Wells, Z.579","Epsom Wells, Z.579","Purcell - Epsom Wells, Z.579",false,false,openopus
"henry-purcell-1659-fantasia-a4-in-a-minor-z744-48","Fantasia a4 in A minor, Z.744","Fantasia a4 in A minor, Z.744","Purcell - Fantasia a4 in A minor, Z.744",false,false,openopus
"henry-purcell-1659-fantasia-in-d-upon-a-ground-for-3-violins-and-continuo-z731-49","Fantasia in D upon a Ground for 3 Violins and Continuo, Z.731","Fantasia in D upon a Ground for 3 Violins and Continuo, Z.731","Purcell - Fantasia in D upon a Ground for 3 Violins and Continuo, Z.731",false,false,openopus
"henry-purcell-1659-fly-bold-rebellion-for-soloists-double-chorus-strings-and-continuo-z324-50","Fly Bold Rebellion, for soloists, double chorus, strings and continuo, Z.324","Fly Bold Rebellion, for soloists, double chorus, strings and continuo, Z.324","Purcell - Fly Bold Rebellion, for soloists, double chorus, strings and continuo, Z.324",false,false,openopus
"henry-purcell-1659-fly-swift-ye-hours-z369-51","Fly Swift, Ye Hours, Z.369","Fly Swift, Ye Hours, Z.369","Purcell - Fly Swift, Ye Hours, Z.369",false,false,openopus
"henry-purcell-1659-from-rosie-bowrs-song-z5789-52","From rosie bow'rs, song, Z.578/9","From rosie bow'rs, song, Z.578/9","Purcell - From rosie bow'rs, song, Z.578/9",false,false,openopus
