work_id,scored_for_type,scored_for_id,is_featured,status
antonio-vivaldi-1678-double-violin-concerto-in-d-major-rv512-253,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-double-violin-concerto-in-d-major-rv512-253,instrument,violin,false,pending
antonio-vivaldi-1678-double-violin-concerto-in-d-major-rv512-253,instrument,violin,true,pending
antonio-vivaldi-1678-double-violin-concerto-in-d-major-rv513-254,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-double-violin-concerto-in-d-major-rv513-254,instrument,violin,false,pending
antonio-vivaldi-1678-double-violin-concerto-in-d-major-rv513-254,instrument,violin,true,pending
antonio-vivaldi-1678-double-violin-concerto-in-d-minor-rv514-255,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-double-violin-concerto-in-d-minor-rv514-255,instrument,violin,false,pending
antonio-vivaldi-1678-double-violin-concerto-in-d-minor-rv514-255,instrument,violin,true,pending
antonio-vivaldi-1678-double-violin-concerto-in-e-flat-major-rv515-256,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-double-violin-concerto-in-e-flat-major-rv515-256,instrument,violin,false,pending
antonio-vivaldi-1678-double-violin-concerto-in-e-flat-major-rv515-256,instrument,violin,true,pending
antonio-vivaldi-1678-double-violin-concerto-in-g-major-rv516-257,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-double-violin-concerto-in-g-major-rv516-257,instrument,violin,false,pending
antonio-vivaldi-1678-double-violin-concerto-in-g-major-rv516-257,instrument,violin,true,pending
antonio-vivaldi-1678-double-violin-concerto-in-g-minor-rv517-258,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-double-violin-concerto-in-g-minor-rv517-258,instrument,violin,false,pending
antonio-vivaldi-1678-double-violin-concerto-in-g-minor-rv517-258,instrument,violin,true,pending
antonio-vivaldi-1678-flute-concerto-in-a-minor-rv108-264,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-flute-concerto-in-a-minor-rv108-264,instrument,lute,false,pending
antonio-vivaldi-1678-flute-concerto-in-a-minor-rv108-264,instrument,lute,true,pending
antonio-vivaldi-1678-flute-concerto-in-a-minor-rv440-265,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-flute-concerto-in-a-minor-rv440-265,instrument,lute,false,pending
antonio-vivaldi-1678-flute-concerto-in-a-minor-rv440-265,instrument,lute,true,pending
antonio-vivaldi-1678-flute-concerto-in-c-minor-no-11-rv441-266,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-flute-concerto-in-c-minor-no-11-rv441-266,instrument,lute,false,pending
antonio-vivaldi-1678-flute-concerto-in-c-minor-no-11-rv441-266,instrument,lute,true,pending
antonio-vivaldi-1678-flute-concerto-in-d-major-rv427-267,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-flute-concerto-in-d-major-rv427-267,instrument,lute,false,pending
antonio-vivaldi-1678-flute-concerto-in-d-major-rv427-267,instrument,lute,true,pending
antonio-vivaldi-1678-flute-concerto-in-d-major-rv428-op-10-no-3-il-gardellino-268,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-flute-concerto-in-d-major-rv428-op-10-no-3-il-gardellino-268,instrument,lute,false,pending
antonio-vivaldi-1678-flute-concerto-in-d-major-rv428-op-10-no-3-il-gardellino-268,instrument,lute,true,pending
antonio-vivaldi-1678-flute-concerto-in-d-major-rv429-269,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-flute-concerto-in-d-major-rv429-269,instrument,lute,false,pending
antonio-vivaldi-1678-flute-concerto-in-d-major-rv429-269,instrument,lute,true,pending
